lon,lat,id,sex
-66.90158809,-53.18823627,3482,F
-67.03022778,-53.14348008,3482,F
-66.81922123,-53.37482493,3482,F
-66.64859787,-53.09302639,3482,F
-66.27999118,-53.21497169,3482,F
-64.58586081,-52.50342162,3482,F
-65.44966443,-52.30817086,3482,F
-65.65751325,-52.16399315,3482,F
-62.63976188,-55.93854959,3482,F
-66.72294082,-53.88640043,3482,F
-62.5177545,-45.44814524,3488,F
-63.11948078,-45.79542606,3488,F
-62.65149606,-44.98652345,3488,F
-63.0059328,-45.83093707,3488,F
-62.60558593,-46.02306252,3488,F
-62.98430651,-46.32210361,3488,F
-64.14347263,-47.76608782,3488,F
-64.77846794,-48.54369954,3488,F
-64.93099849,-48.74309837,3488,F
-65.4079989,-49.22837824,3488,F
-65.38664358,-49.08899314,3488,F
-65.30544947,-49.42375223,3488,F
-65.45541815,-49.18485329,3488,F
-65.97668608,-49.43400213,3488,F
-65.81441293,-49.57878612,3488,F
-65.94267993,-49.7735045,3488,F
-65.58786962,-49.48550432,3488,F
-65.62121364,-49.3941211,3488,F
-65.80599319,-49.663961,3488,F
-65.73859268,-49.42251637,3488,F
-65.51218808,-49.54128703,3488,F
-65.6267993,-49.46729075,3488,F
-65.90592945,-49.54602586,3488,F
-65.80216033,-49.6831987,3488,F
-65.75369516,-49.95458663,3488,F
-66.09943265,-49.2978817,3488,F
-65.86403443,-49.7019763,3488,F
-66.12137712,-49.3395514,3488,F
-63.66643818,-56.08317382,3488,F
-63.54504902,-56.01071198,3488,F
-65.84886208,-49.95319115,3494,F
-65.77694526,-50.0623244,3494,F
-65.86733016,-50.03297099,3494,F
-65.75204598,-49.58710721,3494,F
-66.11863968,-50.10873605,3494,F
-65.97280894,-49.92111047,3494,F
-65.66212495,-50.13873011,3494,F
-66.13811417,-50.30407101,3494,F
-66.03965901,-50.06658146,3494,F
-66.22317793,-50.09397404,3494,F
-65.69963051,-49.96331257,3494,F
-65.95257272,-50.24770986,3494,F
-63.20687378,-55.9133435,3494,F
-63.62837444,-55.74720034,3494,F
-63.06892167,-42.9884554,3509,F
-63.07472285,-43.03434165,3509,F
-63.25011964,-42.92082244,3509,F
-63.40066962,-42.90434891,3509,F
-63.05309015,-43.12231834,3509,F
-63.26868893,-43.55495884,3509,F
-63.07782369,-43.68355355,3509,F
-63.20643881,-43.80113984,3509,F
-63.5799832,-44.12596016,3509,F
-63.19082609,-44.29064188,3509,F
-64.04019915,-45.17599174,3509,F
-64.30897471,-45.00490321,3509,F
-64.66252857,-44.87375007,3509,F
-64.92810268,-44.87994757,3509,F
-66.13495556,-45.1616716,3509,F
-66.89794061,-46.15806781,3509,F
-66.79826922,-46.69394869,3509,F
-66.57258088,-46.74592061,3509,F
-66.50835177,-46.81633254,3509,F
-66.58751959,-53.56536185,3509,F
-66.59238762,-54.09421156,3509,F
-66.80531539,-54.01819884,3509,F
-67.25262078,-53.5927794,3509,F
-65.21896019,-52.90879859,3509,F
-65.34894937,-54.60134986,3514,F
-65.36249825,-54.67311756,3514,F
-65.39400989,-54.57668857,3514,F
-65.29563257,-54.33449391,3514,F
-65.38438415,-54.54828787,3514,F
-65.43277634,-54.46773587,3514,F
-65.20171414,-54.64811328,3514,F
-64.3355262,-54.0985751,3514,F
-64.70525038,-52.90600641,3514,F
-64.37396915,-52.96327432,3514,F
-64.46237962,-52.73379453,3514,F
-64.39223937,-53.15617637,3514,F
-64.52584283,-53.16009253,3514,F
-64.28149943,-52.95886582,3514,F
-64.68383892,-53.18108485,3514,F
-64.65754239,-53.30607745,3514,F
-64.6260173,-53.28928276,3514,F
-64.87515458,-53.24444869,3514,F
-64.7776347,-53.03980552,3514,F
-64.67185866,-53.17252412,3514,F
-64.84207236,-53.31632196,3514,F
-65.14660623,-53.10847701,3514,F
-65.30606029,-53.2626791,3514,F
-65.46812602,-53.23574411,3514,F
-65.37450129,-53.18653448,3514,F
-65.20344415,-53.21269397,3514,F
-65.38000789,-53.11538105,3514,F
-65.35012571,-53.18082704,3514,F
-65.23532373,-53.07716861,3514,F
-66.4520163,-53.46256194,3514,F
-66.85243462,-53.23483665,3514,F
-66.81857004,-53.21616958,3514,F
-66.79841074,-53.45669626,3514,F
-66.74323271,-53.36444147,3514,F
-66.89224091,-53.19458264,3514,F
-65.19374339,-54.04053007,3514,F
-65.02245283,-53.01169792,3514,F
-64.76735686,-52.59727161,3514,F
-65.16550612,-53.11338885,3514,F
-64.17291557,-53.00678798,3514,F
-64.06585789,-53.39830852,3514,F
-64.81689181,-53.73830095,3514,F
-63.83673796,-52.6017839,3514,F
-62.63680378,-51.83410695,3514,F
-63.51422127,-53.02439776,3514,F
-64.76490991,-53.10190413,3514,F
-62.35427112,-45.8249827,3497,M
-62.31865157,-45.7280658,3497,M
-62.33015779,-45.89080132,3497,M
-62.3841934,-45.94053907,3497,M
-62.06795395,-45.76988722,3497,M
-62.24204424,-45.90277252,3497,M
-62.17744314,-45.68276329,3497,M
-62.03834729,-45.80544157,3497,M
-62.12161766,-45.8038049,3497,M
-62.1479405,-45.97302597,3497,M
-62.19323931,-45.89309775,3497,M
-62.17706178,-45.91086456,3497,M
-62.30929089,-45.91557729,3497,M
-62.15406193,-45.77073689,3497,M
-62.67728796,-45.90163059,3497,M
-63.47847108,-46.00315601,3497,M
-64.40118762,-46.91761041,3497,M
